Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1981 1 1 4 0 15 500 500 5 22 9 126 0.01917 0.01917 0.003834 50 0.0439961 0.00754393 1 1 1 1 1 4 4 24 9
1981 1 1 4 0 15 500 500 5 22 10 163 0.04235 0.04235 0.00847 50 0 0.0114293 0 1 1 1 1 4 4 24 10
1981 1 1 4 0 15 500 500 5 22 11 217 0.1012 0.1012 0.02024 50 0 0.0250228 0 1 1 1 1 4 4 24 11
1981 1 1 4 0 15 500 500 5 23 8 87 0.0019 0.0019 0.00038 50 0.00474709 0.00051738 1 1 1 1 1 4 4 25 8
1981 1 1 4 0 15 500 500 5 23 9 115 0.00481 0.00481 0.000962 50 0 0.00422971 0 1 1 1 1 4 4 25 9
1981 1 1 4 0 15 500 500 5 24 8 87 0.0019 0.0019 0.00038 50 0.00474709 0.00051738 1 1 1 1 1 4 4 26 8
1981 1 1 4 0 15 500 500 5 24 9 115 0.00481 0.00481 0.000962 50 0 0.00422971 0 1 1 1 1 4 4 26 9
1981 1 1 4 0 15 500 500 5 26 7 56 0.00152 0.00152 0.000304 50 0.0884995 0.010846 1 1 1 1 1 4 4 27 7
1981 1 1 4 0 15 500 500 5 26 8 80 0.00467 0.00467 0.000934 50 0 0.0519358 0 1 1 1 1 4 4 27 8
1981 1 1 4 0 15 500 500 5 26 9 100 0.00914 0.00914 0.001828 50 0 0.0257178 0 1 1 1 1 4 4 27 9
1981 1 1 5 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.843628 0.843628 1 1 1 1 1 5 5 28 0
1981 1 1 5 0 15 500 500 5 18 9 110 0.01423 0.01423 0.002846 50 0.0118152 0.0118152 1 1 1 1 1 5 5 29 9
1981 1 1 5 0 15 500 500 5 19 9 115 0.01249 0.01249 0.002498 50 0.013008 0.013008 1 1 1 1 1 5 5 30 9
1981 1 1 5 0 15 500 500 5 20 9 116 0.01264 0.01264 0.002528 50 0.0132933 0.0132933 1 1 1 1 1 5 5 31 9
1981 1 1 5 0 15 500 500 5 22 10 163 0.04201 0.04201 0.008402 50 0.00802266 0.00151898 1 1 1 1 1 5 5 32 10
1981 1 1 5 0 15 500 500 5 22 11 221 0.10787 0.10787 0.021574 50 0 0.00454718 0 1 1 1 1 5 5 32 11
1981 1 1 5 0 15 500 500 5 22 12 258 0.17257 0.17257 0.034514 50 0 0.0019565 0 1 1 1 1 5 5 32 12
1981 1 1 5 0 15 500 500 5 23 8 86 0.00186 0.00186 0.000372 50 0.0443815 0.00498833 1 1 1 1 1 5 5 33 8
1981 1 1 5 0 15 500 500 5 23 9 115 0.00482 0.00482 0.000964 50 0 0.0393931 0 1 1 1 1 5 5 33 9
1981 1 1 5 0 15 500 500 5 24 8 86 0.00186 0.00186 0.000372 50 0.0443815 0.00498833 1 1 1 1 1 5 5 34 8
1981 1 1 5 0 15 500 500 5 24 9 115 0.00482 0.00482 0.000964 50 0 0.0393931 0 1 1 1 1 5 5 34 9
1981 1 1 5 0 15 500 500 5 25 8 88 0.00714 0.00714 0.001428 50 0.0132834 0.00148725 1 1 1 1 1 5 5 35 8
1981 1 1 5 0 15 500 500 5 25 9 107 0.01305 0.01305 0.00261 50 0 0.0117961 0 1 1 1 1 5 5 35 9
1981 1 1 5 0 15 500 500 5 26 7 56 0.00152 0.00152 0.000304 50 0.00818614 0.00099591 1 1 1 1 1 5 5 36 7
1981 1 1 5 0 15 500 500 5 26 8 80 0.00467 0.00467 0.000934 50 0 0.00480893 0 1 1 1 1 5 5 36 8
1981 1 1 5 0 15 500 500 5 26 9 100 0.00914 0.00914 0.001828 50 0 0.0023813 0 1 1 1 1 5 5 36 9
1981 1 1 6 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.800027 0.800027 1 1 1 1 1 6 6 37 0
