species,B0
Blue_whiting,1171462.838603
Capelin,5790813.871714
Green_halibut,93325.362233
Haddock,185780.314982
Long_rough_dab,157845.829877
Mackerel,404985.28999
North_atl_cod,1022866.421489
Norwegian_ssh,503769.829682
Polar_cod,227956.145169
Redfish,323601.227218
Saithe,354971.439355
