Name,a,b
Blue_whiting,0.0082,2.9
Capelin,3.3e-4,3.98
Green_halibut,0.0019,3.01
Haddock,0.012,2.95
Long_rough_dab,0.0044,3.204
Mackerel,0.0038,3.21
North_atl_cod,0.009,3
Norwegian_ssh,0.0232,2.81
Polar_cod,3.3e-4,3.98
Redfish,0.0085,3.21
Saithe,0.0103,2.963
