"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"q",1,1,1,1,1,1,1,1,1,1,1
"obs_error",0,0,0,0,0,0,0,0,0,0,0
