"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",23.9718837562589,12.0624908953441,76.8602091828563,33.7296560086777,8.59046950470575,19.3851452029962,29.0945533663963,14.1294266401453,18.7665518036785,10.3425319672764,30.0500155762892
"kappa",0.137510037799347,0.337989427372771,0.261155902751545,0.329560953977042,0.544149224226001,0.353698416450439,0.655036343556067,0.352166530235794,0.10940299326042,0.366382150470725,0.477525014639327
"Linf",31.303461015977,17.1641099076542,207.192430478437,77.4381002512482,80.0212226950621,NA,97.5419882359938,31.8780858646309,24.7384527528913,27.0441046536055,420.046055196143
"K",1.41574968509782,1.09494326733612,0.0757528440457844,0.263265157522407,0.0392162382137994,NA,0.404654034322017,0.374467444007852,0.245690378483598,0.29899740463634,0.0172136204110918
"growthType",4,4,4,4,4,2,4,4,4,4,4
