"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"eggRicker_alpha",1,1,1,1,1,1,1,1,1,1,1
"eggRicker_shape",1,1,1,1,1,1,1,1,1,1,1
"eggRicker_beta",1,1,1,1,1,1,1,1,1,1,1
"DS_alpha",1,1,1,1,1,1,1,1,1,1,1
"DS_shape",1,1,1,1,1,1,1,1,1,1,1
"DS_beta",1,1,1,1,1,1,1,1,1,1,1
"gamma_alpha",1,1,1,1,1,1,1,1,1,1,1
"gamma_shape",1,1,1,1,1,1,1,1,1,1,1
"gamma_beta",1,1,1,1,1,1,1,1,1,1,1
"ricker_alpha",1,1,1,1,1,1,1,1,1,1,1
"ricker_shape",1,1,1,1,1,1,1,1,1,1,1
"ricker_beta",1,1,1,1,1,1,1,1,1,1,1
"BH_alpha",1,1,1,1,1,1,1,1,1,1,1
"BH_shape",1,1,1,1,1,1,1,1,1,1,1
"BH_beta",1,1,1,1,1,1,1,1,1,1,1
"shepherd_alpha",1,1,1,1,1,1,1,1,1,1,1
"shepherd_shape",1,1,1,1,1,1,1,1,1,1,1
"shepherd_beta",1,1,1,1,1,1,1,1,1,1,1
"hockey_alpha",1,1,1,1,1,1,1,1,1,1,1
"hockey_shape",1,1,1,1,1,1,1,1,1,1,1
"hockey_beta",1,1,1,1,1,1,1,1,1,1,1
"segmented_alpha",1,1,1,1,1,1,1,1,1,1,1
"segmented_shape",1,1,1,1,1,1,1,1,1,1,1
"segmented_beta",1,1,1,1,1,1,1,1,1,1,1
"sigma",1,1,1,1,1,1,1,1,1,1,1
"type",1,1,1,1,1,1,1,1,1,1,1
"stochastic",1,1,1,1,1,1,1,1,1,1,1
