"","sizebin1","sizebin2","sizebin3","sizebin4","sizebin5","sizebin6","sizebin7","sizebin8","sizebin9","sizebin10"
"Blue_whiting",0,0,2.46845209643193,8.41872516499849,8.95655287601131,9.92781573995122,10.5415056134334,9.54074854505904,7.19427006016447,3.86368111976689
"Capelin",0,12.0204768829639,12.4310019544977,6.97792899939249,9.54549781098685,8.76609331438388,5.88325983499982,1.86670118895575,-3.06748609581738,-8.70352276960773
"Green_halibut",0,0,-4.15167710886935,2.36858732363602,3.24064451818934,2.56339784679878,2.55883818375837,2.72178589965653,2.34977712368532,1.31855418682294
"Haddock",0,0.779251938361238,4.40854829305192,1.57727168180374,3.74755443543941,4.46540553260926,4.13032517614929,2.47219511615403,-0.432989965219202,-4.28744399218793
"Long_rough_dab",0.238532531214145,7.06135823626536,6.69456779365316,6.80113971830691,6.29155332091469,6.37035591015502,4.75609014981083,1.37779433806176,-3.27499654200754,-8.791630037118
"Mackerel",0,-4.51322931228973,6.8931119346277,7.75948592447286,8.22585109537546,8.33700263658387,8.03791642918629,6.68124655431817,4.18882589863062,0.775729430096381
"North_atl_cod",0,-0.366110750039609,7.91407486278586,7.12545591004415,3.78021976440337,5.26789400893618,5.00189984424289,4.25524809016107,2.74289835571904,0.523835230654569
"Norwegian_ssh",0,3.91920527109758,7.52965957241736,7.17376301562871,7.6958725783504,7.95860694462141,5.89602649612849,2.10453261146096,-2.80731268096497,-8.42188301161191
"Polar_cod",0,2.9247435545449,5.70909644049696,3.1223820168523,6.8226610445543,7.80146254647824,6.78862556934225,4.1545691040172,0.31686483312477,-4.36300862883812
"Redfish",0,7.27953393365864,10.5352019581321,6.43643088030433,7.85588537801033,7.66736788285442,5.45625775349829,1.5707407422083,-3.52373796652983,-9.40879131070002
"Saithe",0,5.28479248629862,6.05022236871315,6.19012532631377,5.99283289549217,5.97047131312086,5.55723905059111,4.09593948964889,1.48051462900413,-2.07868982429016
