"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"nu",1,1,1,1,1,1,1,1,1,1,1
"omega",1,1,1,1,1,1,1,1,1,1,1
