fishery,area,year,species,type,inpN,sizebin1,sizebin2,sizebin3,sizebin4,sizebin5
census,1,55,Blue_whiting,0,795,-999,0.021383647798742137,0.4968553459119497,0.48050314465408805,0.0012578616352201257
census,1,56,Blue_whiting,0,800,-999,0.0275,0.52375,0.44875,-999
census,1,57,Blue_whiting,0,812,-999,0.02832512315270936,0.5295566502463054,0.4421182266009852,-999
census,1,58,Blue_whiting,0,819,-999,0.031746031746031744,0.5470085470085471,0.42124542124542125,-999
census,1,59,Blue_whiting,0,828,-999,0.035024154589371984,0.5567632850241546,0.4082125603864734,-999
census,1,60,Blue_whiting,0,830,-999,0.03614457831325301,0.5710843373493976,0.3927710843373494,-999
census,1,61,Blue_whiting,0,818,-999,0.035452322738386305,0.5623471882640587,0.402200488997555,-999
census,1,62,Blue_whiting,0,826,-999,0.035108958837772396,0.5556900726392252,0.4092009685230024,-999
census,1,63,Blue_whiting,0,812,-999,0.04310344827586207,0.5406403940886699,0.41625615763546797,-999
census,1,64,Blue_whiting,0,829,-999,0.038600723763570564,0.5392038600723763,0.4221954161640531,-999
census,1,65,Blue_whiting,0,841,-999,0.03804994054696789,0.5529131985731273,0.4090368608799049,-999
census,1,66,Blue_whiting,0,829,-999,0.03739445114595899,0.5319662243667069,0.4294330518697226,0.0012062726176115801
census,1,67,Blue_whiting,0,833,-999,0.04081632653061224,0.5438175270108043,0.4141656662665066,0.0012004801920768306
census,1,68,Blue_whiting,0,813,-999,0.041820418204182044,0.5362853628536285,0.4218942189421894,-999
census,1,69,Blue_whiting,0,843,-999,0.04033214709371293,0.5219454329774614,0.43534994068801897,0.002372479240806643
census,1,70,Blue_whiting,0,829,-999,0.038600723763570564,0.5319662243667069,0.428226779252111,0.0012062726176115801
census,1,71,Blue_whiting,0,811,-999,0.03945745992601726,0.5363748458692972,0.42293464858199753,0.0012330456226880395
census,1,72,Blue_whiting,0,839,-999,0.03575685339690107,0.5303933253873659,0.432657926102503,0.0011918951132300357
census,1,73,Blue_whiting,0,814,-999,0.04054054054054054,0.547911547911548,0.4103194103194103,0.0012285012285012285
census,1,74,Blue_whiting,0,838,-999,0.0405727923627685,0.5346062052505967,0.4224343675417661,0.002386634844868735
census,1,75,Blue_whiting,0,823,-999,0.03766707168894289,0.5358444714459295,0.425273390036452,0.001215066828675577
census,1,76,Blue_whiting,0,806,-999,0.038461538461538464,0.532258064516129,0.4280397022332506,0.0012406947890818859
census,1,77,Blue_whiting,0,823,-999,0.038882138517618466,0.5224787363304981,0.4362089914945322,0.002430133657351154
census,1,78,Blue_whiting,0,840,-999,0.04047619047619048,0.5571428571428572,0.4,0.002380952380952381
census,1,79,Blue_whiting,0,838,-999,0.03818615751789976,0.5286396181384249,0.4307875894988067,0.002386634844868735
census,1,80,Blue_whiting,0,814,-999,0.038083538083538086,0.5368550368550369,0.4250614250614251,-999
census,1,81,Blue_whiting,0,856,-999,0.038551401869158876,0.4929906542056075,0.4661214953271028,0.002336448598130841
census,1,82,Blue_whiting,0,811,-999,0.0345252774352651,0.4747225647348952,0.4870530209617756,0.0036991368680641184
census,1,83,Blue_whiting,0,799,-999,0.03254067584480601,0.46057571964956195,0.4981226533166458,0.008760951188986232
census,1,84,Blue_whiting,0,820,-999,0.03048780487804878,0.45975609756097563,0.5048780487804878,0.004878048780487805
census,1,85,Blue_whiting,0,807,-999,0.030978934324659233,0.4448574969021066,0.5179677819083024,0.006195786864931847
census,1,86,Blue_whiting,0,817,-999,0.03671970624235006,0.4467564259485924,0.5128518971848225,0.0036719706242350062
census,1,87,Blue_whiting,0,810,-999,0.028395061728395062,0.42345679012345677,0.5395061728395062,0.008641975308641974
census,1,88,Blue_whiting,0,819,-999,0.026862026862026864,0.4249084249084249,0.5433455433455433,0.004884004884004884
census,1,89,Blue_whiting,0,790,-999,0.03164556962025317,0.4379746835443038,0.5265822784810127,0.0037974683544303796
census,1,90,Blue_whiting,0,816,-999,0.030637254901960783,0.43014705882352944,0.5306372549019608,0.00857843137254902
census,1,91,Blue_whiting,0,808,-999,0.027227722772277228,0.42945544554455445,0.5383663366336634,0.0049504950495049506
census,1,92,Blue_whiting,0,811,-999,0.030826140567200986,0.4438964241676942,0.5215782983970407,0.0036991368680641184
census,1,93,Blue_whiting,0,803,-999,0.024906600249066,0.44209215442092153,0.5317559153175592,0.0012453300124533001
census,1,94,Blue_whiting,0,815,-999,0.029447852760736196,0.43803680981595094,0.5276073619631901,0.0049079754601227
census,1,95,Blue_whiting,0,809,-999,0.029666254635352288,0.4326328800988875,0.5327564894932015,0.004944375772558714
census,1,96,Blue_whiting,0,807,-999,0.030978934324659233,0.4448574969021066,0.5216852540272615,0.0024783147459727386
census,1,97,Blue_whiting,0,810,-999,0.027160493827160494,0.4283950617283951,0.5407407407407407,0.003703703703703704
census,1,98,Blue_whiting,0,819,-999,0.026862026862026864,0.4346764346764347,0.5347985347985348,0.003663003663003663
