"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",23.3707086527112,12.0907954276926,84.8792612119841,34.1888871200726,8.66211113712189,19.6379625117211,37.0523304418929,12.0548776279252,18.8632421794436,11.1854158817505,33.370785428769
"kappa",0.176194654267628,0.364755761048922,0.238842853885212,0.359425495215391,0.559672729800004,0.3527311471995,0.582400827510257,0.46033940122728,0.113332531467191,0.365871441453775,0.46434493858192
"Linf",32.7752079707744,18.4407573710986,NA,80.5551140525022,NA,NA,NA,34.8057956862058,24.8856750599477,27.6982149934827,NA
"K",1.10100987134275,0.841831823790628,NA,0.302963861131936,NA,NA,NA,0.316117557609862,0.269977693822001,0.322341494170491,NA
"growthType",3,3,2,3,2,2,2,3,3,3,2
