survey,year,species,sizebin,inpN,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe,allotherprey
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin5,100,-999,0.002718764171728025,-999,-999,-999,-999,-999,7.732443241286224e-5,-999,0.013539632193898983,-999,0.9836642792019601
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin6,100,-999,0.010226303297629526,-999,-999,-999,-999,-999,2.9155391696320296e-4,-999,0.051633615653437034,-999,0.9378485271319702
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin7,100,-999,0.01146059647216234,-999,-999,-999,-999,-999,3.27343814216544e-4,-999,0.05848835465811803,-999,0.9297237050555031
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin8,100,-999,0.011523495017841084,-999,-999,-999,-999,-999,3.29627030883651e-4,-999,0.05931226931197842,-999,0.9288346086392969
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin9,100,-999,0.01153139517574371,-999,-999,-999,-999,-999,3.3026957444089053e-4,-999,0.059742688720007237,-999,0.9283956465298082
BTS_fall_allbox_effic1,1,Blue_whiting,sizebin10,100,-999,0.011552987703162196,-999,-999,-999,-999,-999,3.341874918900116e-4,-999,0.05991926176574068,-999,0.9281935630392071
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin4,100,-999,2.845718680322274e-5,-999,-999,-999,-999,-999,9.088267921066465e-7,-999,1.5421793235632057e-4,-999,0.9998164160540484
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin5,100,-999,0.0024072176415621694,-999,-999,-999,-999,-999,7.608806836730739e-5,-999,0.013934665682468346,-999,0.9835820286076021
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin6,100,-999,0.008829214392105503,-999,-999,-999,-999,-999,2.788931594118065e-4,-999,0.051746505906497396,-999,0.9391453865419853
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin7,100,-999,0.009880427086550056,-999,-999,-999,-999,-999,3.1199206502092157e-4,-999,0.05845928414341995,-999,0.9313482967050091
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin8,100,-999,0.009949145323519272,-999,-999,-999,-999,-999,3.141262328082492e-4,-999,0.05931166745578567,-999,0.9304250609878868
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin9,100,-999,0.009967276357295876,-999,-999,-999,-999,-999,3.146824455441089e-4,-999,0.05975002246185582,-999,0.9299680187353042
BTS_fall_allbox_effic1,2,Blue_whiting,sizebin10,100,-999,0.009987648669514864,-999,-999,-999,-999,-999,3.1679630207057043e-4,-999,0.060245587624814065,-999,0.9294499674036005
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin4,100,-999,2.3290424815904773e-5,-999,-999,-999,-999,-999,-999,-999,1.704380291875854e-4,-999,0.99980627154599655
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin5,100,-999,0.002029494051722923,-999,-999,-999,-999,-999,6.816811259858265e-5,-999,0.01580858759518492,-999,0.9820937502404936
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin6,100,-999,0.007438158410763552,-999,-999,-999,-999,-999,2.7105113522441637e-4,-999,0.05856471316378902,-999,0.93372607729022306
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin7,100,-999,0.008336769737231527,-999,-999,-999,-999,-999,3.204637006402072e-4,-999,0.06618071312800711,-999,0.9251620534341212
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin8,100,-999,0.008398669562063166,-999,-999,-999,-999,-999,3.3521240581108633e-4,-999,0.06711094464827806,-999,0.9241551733838477
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin9,100,-999,0.00841659988079226,-999,-999,-999,-999,-999,3.440680832331533e-4,-999,0.06757862611286836,-999,0.9236607059231062
BTS_fall_allbox_effic1,3,Blue_whiting,sizebin10,100,-999,0.008438592825308993,-999,-999,-999,-999,-999,3.5633858576378106e-4,-999,0.0680773280967824,-999,0.9231277404921449
BTS_fall_allbox_effic1,4,Blue_whiting,sizebin5,100,-999,0.002225806908569052,-999,-999,-999,-999,-999,2.138046812698508e-5,-999,0.01696147912660666,-999,0.9807913334966973
BTS_fall_allbox_effic1,4,Blue_whiting,sizebin6,100,-999,0.00805663777361453,-999,-999,-999,-999,-999,9.177475217564366e-5,-999,0.06194907965634455,-999,0.9299025078178653
BTS_fall_allbox_effic1,4,Blue_whiting,sizebin7,100,-999,0.009016775350888755,-999,-999,-999,-999,-999,1.1494329464657041e-4,-999,0.06980655245638358,-999,0.9210617288980811
BTS_fall_allbox_effic1,4,Blue_whiting,sizebin8,100,-999,0.009082001599216705,-999,-999,-999,-999,-999,1.2553045529548642e-4,-999,0.07069092637325365,-999,0.9201015415722341
BTS_fall_allbox_effic1,4,Blue_whiting,sizebin9,100,-999,0.009101311974605153,-999,-999,-999,-999,-999,1.32725711800056e-4,-999,0.07111808253348664,-999,0.9196478797801082
BTS_fall_allbox_effic1,4,Blue_whiting,sizebin10,100,-999,0.009187651115286414,-999,-999,-999,-999,-999,1.4782167043431383e-4,-999,0.07175842159622445,-999,0.9189061056180549
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin4,100,-999,-999,-999,-999,-999,-999,-999,3.3130409482592476e-7,-999,-999,-999,0.9999996686959052
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin5,100,-999,0.002409954721432497,-999,-999,-999,-999,-999,3.636763507378114e-5,-999,0.01571718444168396,-999,0.9818364932018098
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin6,100,-999,0.008684653709443789,-999,-999,-999,-999,-999,1.2979731361806545e-4,-999,0.057243837671292964,-999,0.9339417113056452
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin7,100,-999,0.009713810244408337,-999,-999,-999,-999,-999,1.4486684524930073e-4,-999,0.06456149004520427,-999,0.9255798328651381
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin8,100,-999,0.009770563122781954,-999,-999,-999,-999,-999,1.455830321041567e-4,-999,0.06537887954851695,-999,0.9247049742965969
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin9,100,-999,0.009777712848724078,-999,-999,-999,-999,-999,1.4572706791414085e-4,-999,0.06574861488951954,-999,0.9243279451938422
BTS_fall_allbox_effic1,5,Blue_whiting,sizebin10,100,-999,0.00977724768832034,-999,-999,-999,-999,-999,1.4942938220679038e-4,-999,0.06632061593999967,-999,0.9237527069894732
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin4,100,-999,-999,-999,-999,-999,-999,-999,9.430778390497295e-7,-999,-999,-999,0.999999056922161
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin5,100,-999,0.0019301782486357037,-999,-999,-999,-999,-999,8.673495472856106e-5,-999,0.015663257939203465,-999,0.9823198288574323
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin6,100,-999,0.006977524182573181,-999,-999,-999,-999,-999,3.1087284666939753e-4,-999,0.05714569631893574,-999,0.9355659066518217
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin7,100,-999,0.007833181458885058,-999,-999,-999,-999,-999,3.48839908069038e-4,-999,0.06462235006458703,-999,0.9271956285684588
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin8,100,-999,0.007887563718515418,-999,-999,-999,-999,-999,3.5138859563284915e-4,-999,0.06546682685778096,-999,0.9262942208280708
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin9,100,-999,0.007898349774179853,-999,-999,-999,-999,-999,3.520617513437486e-4,-999,0.06586099109276368,-999,0.9258885973817127
BTS_fall_allbox_effic1,6,Blue_whiting,sizebin10,100,-999,0.007900842833155656,-999,-999,-999,-999,-999,3.578310348314689e-4,-999,0.06652356262408138,-999,0.9252177635079315
BTS_fall_allbox_effic1,7,Blue_whiting,sizebin5,100,-999,0.002783132631322834,-999,-999,-999,-999,-999,2.373229620561643e-4,-999,0.014200026336590042,-999,0.9827795180700309
BTS_fall_allbox_effic1,7,Blue_whiting,sizebin6,100,-999,0.010101432232661633,-999,-999,-999,-999,-999,8.930119496481849e-4,-999,0.052035728721798354,-999,0.9369698270958918
BTS_fall_allbox_effic1,7,Blue_whiting,sizebin7,100,-999,0.011337914272883392,-999,-999,-999,-999,-999,0.001031675999587223,-999,0.0588450558874961,-999,0.9287853538400332
BTS_fall_allbox_effic1,7,Blue_whiting,sizebin8,100,-999,0.011415568111906213,-999,-999,-999,-999,-999,0.0010645572499824042,-999,0.059619230344246585,-999,0.9279006442938648
BTS_fall_allbox_effic1,7,Blue_whiting,sizebin9,100,-999,0.011430984686497688,-999,-999,-999,-999,-999,0.0010863952623879271,-999,0.05997689879524156,-999,0.9275057212558728
BTS_fall_allbox_effic1,7,Blue_whiting,sizebin10,100,-999,0.011450236882207507,-999,-999,-999,-999,-999,0.0011424028283825943,-999,0.060630670810626015,-999,0.9267766894787839
BTS_fall_allbox_effic1,8,Blue_whiting,sizebin5,100,-999,0.004700605633207737,-999,-999,-999,-999,-999,2.5866639013485173e-4,-999,0.014975252360801439,-999,0.980065475615856
BTS_fall_allbox_effic1,8,Blue_whiting,sizebin6,100,-999,0.017204873421866135,-999,-999,-999,-999,-999,9.498719656231058e-4,-999,0.05544679787610941,-999,0.9263984567364013
BTS_fall_allbox_effic1,8,Blue_whiting,sizebin7,100,-999,0.019264921295774014,-999,-999,-999,-999,-999,0.001066463841066444,-999,0.06264317011351618,-999,0.9170254447496433
BTS_fall_allbox_effic1,8,Blue_whiting,sizebin8,100,-999,0.019367509329442374,-999,-999,-999,-999,-999,0.0010746784676174356,-999,0.06344285494035894,-999,0.9161149572625813
BTS_fall_allbox_effic1,8,Blue_whiting,sizebin9,100,-999,0.019374666309043848,-999,-999,-999,-999,-999,0.001076950449817512,-999,0.06377894199053065,-999,0.915769441250608
BTS_fall_allbox_effic1,8,Blue_whiting,sizebin10,100,-999,0.019395704205729426,-999,-999,-999,-999,-999,0.0010883713437648875,-999,0.06457167214764516,-999,0.9149442523028606
