"","sizeclass1","sizeclass2","sizeclass3","sizeclass4","sizeclass5"
"Blue_whiting",0.039893347,0.179748344,0.512104803,4.879748476,20.26
"Capelin",0.01,0.03,0.8,1.5,3
"Green_halibut",0.090189781,1.952671779,9.334322368,28.80493233,77.55885308
"Haddock",0.031,0.096183673,0.939220418,3.915192982,12.07313904
"Long_rough_dab",0.016072464,0.086965517,0.237958824,0.442743017,1.583142857
"Mackerel",0.01,0.08,1.3,2,3
"North_atl_cod",0.035,0.103736364,1.952671779,18.42060702,84.48736889
"Norwegian_ssh",0.01,0.03,0.8,1.5,3
"Polar_cod",0.01,0.03,0.8,1.5,3
"Redfish",0.031,0.096183673,0.939220418,3.915192982,12.07313904
"Saithe",0.090189781,1.952671779,9.334322368,28.80493233,77.55885308
