"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",23.2851818109104,12.0881409559226,84.7277102827903,30.8538301470714,8.64944444160938,19.5408369056771,37.319955222465,12.2434637938916,18.8644969024034,11.3527776485506,33.4355200760168
"kappa",0.175375891401863,0.359862959780105,0.238300936995666,0.409816112739969,0.558103296592924,0.355074021672449,0.58047057241046,0.465513314020828,0.11286936551874,0.359495328128746,0.458557064989778
"Linf",32.4216271234913,18.4025984737226,NA,78.7917432495277,NA,NA,NA,34.1432032769345,24.8644646204664,27.5127599248925,NA
"K",1.27679918851798,0.827144316703413,NA,0.340193657250032,NA,NA,NA,0.315837802148206,0.269151383435076,0.326789764356726,NA
"growthType",4,4,2,4,2,2,2,4,4,4,2
