"","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
"psi",21.7188839796956,6.65784205269352,82.7560852462594,41.9652088982326,9.57315295497239,64.2586915155993,15.9890719325133,17.1396670495623,17.5729452463289,31.4966144156375
"kappa",0.375395664354137,1.10079002577748,0.23522137372508,0.289899388543189,0.556475522925592,0.239824403864486,0.321525903097549,0.158567926806012,0.16937076078091,0.468129942690276
"Linf",NA,16.9878082810058,NA,NA,NA,NA,33.1468781391581,23.7378682799489,27.2440064506742,NA
"K",NA,1.49412427040488,NA,NA,NA,NA,0.375873487528973,0.549021203330674,0.305661123442814,NA
"growthType",2,4,2,2,2,2,4,4,4,2
