Year Quarter Predator.no Predator.age Prey.no Prey.age Part.M2
1974 1 1 2 3 1 0.0110345
1974 1 1 3 2 1 0.00689116
1974 1 1 3 3 1 0.015645
1974 1 1 3 3 2 0.00453769
1974 1 1 3 3 3 0.003448
1974 1 1 4 2 1 0.0238859
1974 1 1 4 2 2 0.00777745
1974 1 1 4 3 1 0.0369161
1974 1 1 4 3 2 0.0142945
1974 1 1 4 3 3 0.0114764
1974 1 1 4 3 4 0.00943989
1974 1 1 4 3 5 0.00943989
1974 1 1 4 3 6 0.00862472
1974 1 1 4 3 7 0.00943989
1974 1 1 5 2 1 0.0251913
1974 1 1 5 2 2 0.00975959
1974 1 1 5 2 3 0.00494451
1974 1 1 5 2 4 0.00347824
1974 1 1 5 2 5 0.00305205
1974 1 1 5 2 6 0.00297608
1974 1 1 5 3 1 0.0293339
1974 1 1 5 3 2 0.0140512
1974 1 1 5 3 3 0.0117476
1974 1 1 5 3 4 0.00999981
1974 1 1 5 3 5 0.00999981
1974 1 1 5 3 6 0.00927748
1974 1 1 5 3 7 0.00999981
1974 1 1 6 2 1 0.0282698
1974 1 1 6 2 2 0.0126693
1974 1 1 6 2 3 0.00700588
1974 1 1 6 2 4 0.00513745
1974 1 1 6 2 5 0.00457566
1974 1 1 6 2 6 0.00447448
1974 1 1 6 2 7 0.00393255
1974 1 1 6 2 8 0.00231306
1974 1 1 6 3 1 0.0259665
1974 1 1 6 3 2 0.0148653
1974 1 1 6 3 3 0.0128576
1974 1 1 6 3 4 0.0112634
1974 1 1 6 3 5 0.0112634
1974 1 1 6 3 6 0.0105849
1974 1 1 6 3 7 0.0112634
1974 1 1 7 2 1 0.0156577
1974 1 1 7 2 2 0.00802577
1974 1 1 7 2 3 0.00481118
1974 1 1 7 2 4 0.0036659
1974 1 1 7 2 5 0.00331022
1974 1 1 7 2 6 0.00324552
1974 1 1 7 2 7 0.00289539
1974 1 1 7 2 8 0.00180525
1974 1 1 7 3 1 0.0115561
1974 1 1 7 3 2 0.00779762
1974 1 1 7 3 3 0.00695899
1974 1 1 7 3 4 0.0062597
1974 1 1 7 3 5 0.0062597
1974 1 1 7 3 6 0.00595276
1974 1 1 7 3 7 0.0062597
1974 1 1 8 2 1 0.0273274
1974 1 1 8 2 2 0.0161395
1974 1 1 8 2 3 0.0105351
1974 1 1 8 2 4 0.0083585
1974 1 1 8 2 5 0.00765779
1974 1 1 8 2 6 0.00752891
1974 1 1 8 2 7 0.0068234
1974 1 1 8 2 8 0.00452421
1974 1 1 8 3 1 0.0160122
1974 1 1 8 3 2 0.0128504
1974 1 1 8 3 3 0.0118535
1974 1 1 8 3 4 0.0109644
1974 1 1 8 3 5 0.0109644
1974 1 1 8 3 6 0.0105579
1974 1 1 8 3 7 0.0109644
1974 1 1 9 2 1 0.0117935
1974 1 1 9 2 2 0.00837796
1974 1 1 9 2 3 0.00611073
1974 1 1 9 2 4 0.00511055
1974 1 1 9 2 5 0.00477147
1974 1 1 9 2 6 0.00470811
1974 1 1 9 2 7 0.00435551
1974 1 1 9 2 8 0.00312893
1974 1 1 9 3 1 0.00511514
1974 1 1 9 3 2 0.00514621
1974 1 1 9 3 3 0.00495584
1974 1 1 9 3 4 0.00475406
1974 1 1 9 3 5 0.00475406
1974 1 1 9 3 6 0.00465302
1974 1 1 9 3 7 0.00475406
1974 1 1 10 2 1 0.00419672
1974 1 1 10 2 2 0.00347883
1974 1 1 10 2 3 0.00278404
1974 1 1 10 2 4 0.00243319
1974 1 1 10 2 5 0.00230793
1974 1 1 10 2 6 0.00228416
1974 1 1 10 2 7 0.00214969
1974 1 1 10 2 8 0.00165131
1974 1 1 10 3 1 0.0014156
1974 1 1 10 3 2 0.00172033
1974 1 1 10 3 3 0.00171739
1974 1 1 10 3 4 0.00169836
1974 1 1 10 3 5 0.00169836
1974 1 1 10 3 6 0.00168506
1974 1 1 10 3 7 0.00169836
1974 1 1 11 2 1 0.00163735
1974 1 1 11 2 2 0.00159925
1974 1 1 11 2 3 0.00141249
1974 1 1 11 2 4 0.00129366
1974 1 1 11 2 5 0.00124784
1974 1 1 11 2 6 0.00123895
1974 1 1 11 2 7 0.0011875
1974 1 1 11 2 8 0.000979524
1974 1 1 11 3 1 0.000422777
1974 1 1 11 3 2 0.000628047
1974 1 1 11 3 3 0.000651424
1974 1 1 11 3 4 0.000665381
1974 1 1 11 3 5 0.000665381
1974 1 1 11 3 6 0.000669793
1974 1 1 11 3 7 0.000665381
1974 2 1 2 3 1 0.00941786
1974 2 1 3 3 1 0.0251628
1974 2 1 3 3 2 0.00976477
1974 2 1 4 2 1 0.0052716
1974 2 1 4 2 2 0.00221994
1974 2 1 4 3 1 0.0409139
1974 2 1 4 3 2 0.0194392
1974 2 1 4 3 3 0.0140753
1974 2 1 4 3 4 0.0116752
1974 2 1 4 3 5 0.0116752
1974 2 1 4 3 6 0.00985194
1974 2 1 4 3 7 0.0107043
1974 2 1 5 2 1 0.00606881
1974 2 1 5 2 2 0.00291594
1974 2 1 5 2 3 0.00189075
1974 2 1 5 2 4 0.00152454
1974 2 1 5 2 5 0.00132394
1974 2 1 5 2 6 0.00166728
1974 2 1 5 2 7 0.0013992
1974 2 1 5 3 1 0.0338434
1974 2 1 5 3 2 0.0190063
1974 2 1 5 3 3 0.0146395
1974 2 1 5 3 4 0.0125597
1974 2 1 5 3 5 0.0125597
1974 2 1 5 3 6 0.0109156
1974 2 1 5 3 7 0.0116918
1974 2 1 6 2 1 0.00756023
1974 2 1 6 2 2 0.00403089
1974 2 1 6 2 3 0.00276097
1974 2 1 6 2 4 0.00228442
1974 2 1 6 2 5 0.00201678
1974 2 1 6 2 6 0.00247191
1974 2 1 6 2 7 0.0021178
1974 2 1 6 2 8 0.00135822
1974 2 1 6 3 1 0.0324819
1974 2 1 6 3 2 0.020814
1974 2 1 6 3 3 0.0168334
1974 2 1 6 3 4 0.0148314
1974 2 1 6 3 5 0.0148314
1974 2 1 6 3 6 0.0131934
1974 2 1 6 3 7 0.0139731
1974 2 1 7 2 1 0.00455308
1974 2 1 7 2 2 0.00266899
1974 2 1 7 2 3 0.00192176
1974 2 1 7 2 4 0.00162791
1974 2 1 7 2 5 0.0014589
1974 2 1 7 2 6 0.00174453
1974 2 1 7 2 7 0.00152306
1974 2 1 7 2 8 0.00102819
