Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
2 1974  1.95735e+07 2.02923e+06 2.4202e+06 377003 383100 377003 377003 383100 377003 0.236854 416551
2 1975  3.36213e+07 1.84529e+06 2.14637e+06 349685 336815 349685 349685 336815 349685 0.228751 426043
2 1976  2.44857e+07 1.57768e+06 1.97845e+06 394769 391873 394769 394769 391873 394769 0.310115 373997
2 1977  3.62617e+07 1.43001e+06 1.80052e+06 270121 260940 270121 270121 260940 270121 0.220226 447806
2 1978  3.88922e+07 1.44264e+06 1.86777e+06 209750 197847 209750 209750 197847 209750 0.16043 657495
2 1979  5.63607e+07 1.75178e+06 2.168e+06 225917 210800 225917 225917 210800 225917 0.153846 831551
2 1980  7.06096e+07 1.36206e+06 1.81114e+06 267906 264626 267906 267906 264626 267906 0.24638 870234
2 1981  7.35264e+07 1.09803e+06 1.65055e+06 281710 270938 281710 281710 270938 281710 0.278087 885197
2 1982  5.00224e+07 1.29359e+06 1.93189e+06 286530 255254 286530 286530 255254 286530 0.274767 821518
2 1983  5.67813e+07 1.19384e+06 1.67554e+06 323691 317528 323691 323691 317528 323691 0.370849 698030
2 1984  3.76694e+07 963431 1.4574e+06 279565 274949 279565 279565 274949 279565 0.359961 544653
2 1985  1.95506e+07 1.1003e+06 1.53602e+06 316330 271631 316330 316330 271631 316330 0.335669 388850
2 1986  3.75238e+07 798357 1.05382e+06 256813 236481 256813 256813 236481 256813 0.343201 315588
2 1987  1.51442e+07 1.02244e+06 1.40807e+06 222608 197607 222608 222608 197607 222608 0.267978 293387
2 1988  2.05406e+07 837305 1.05508e+06 252127 238425 252127 252127 238425 252127 0.31632 246788
2 1989  2.383e+07 650501 857360 261876 233809 261876 261876 233809 261876 0.377926 188890
2 1990  1.78418e+07 695855 954151 279259 254204 279259 279259 254204 279259 0.425237 115085
2 1991  2.19058e+07 617847 854485 196685 196064 196685 196685 196064 196685 0.384961 81357
2 1992  2.13674e+07 653397 910467 187841 178295 187841 187841 178295 187841 0.307021 96620.4
2 1993  1.89716e+07 729944 992914 230306 217602 230306 230306 217602 230306 0.36127 140290
2 1994  2.5236e+07 826549 1.04835e+06 241656 243971 241656 241656 243971 241656 0.395249 138338
2 1995  1.99994e+07 615956 867208 221653 227127 221653 221653 227127 221653 0.428074 115482
2 1996  9.96778e+06 674876 918019 195666 198590 195666 195666 198590 195666 0.429688 81814.1
2 1997  1.57506e+07 508161 641373 197331 193977 197331 197331 193977 197331 0.485131 55994
2 1998  9.29976e+06 517413 678297 221690 209937 221690 221690 209937 221690 0.539335 51509
2 1999  1.59951e+07 422544 535795 174096 154323 174096 174096 154323 174096 0.43905 57745.9
2 2000  1.27266e+07 442953 601201 208546 177988 208546 208546 177988 208546 0.515672 80460.1
2 2001  1.22384e+07 460207 608294 202481 200537 202481 202481 200537 202481 0.646913 77684.4
2 2002  2.54937e+07 345645 471885 131045 126242 131045 131045 126242 131045 0.437873 84626.2
