

Observed catches

Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
Yield         221690    174096    208546    202481    131045    112255     93370     90586


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    172500    238300    181700    159400    206500    164700     49700     66400
         1    808300    457500    789400    656300    546300    293100    331700    470300
         2    505500    920400    735300   1364100    645400    568900    315000    655400
         3    754000    630200    968200    721900   1357300    770700    411000    260100
         4   1105000    703000    461700    845300    662000   1130400    504800    410400
         5    408900    823500    485800    299500    630100    415400    621800    467500
         6    264800    268800    710900    340600    283800    312800    225400    403600
         7    154400    136100    165700    486800    283800    129100    153700    172900
         8    147600    111700    215600    239500    362400    235200    199500    223700

Yield         109545    114606    125342    131229    135658    115769     97499    100558


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    223600     93100    321800    466300    210200    328395    363377     58384
         1    470200   1415800    602100    983600   1737600    416845   1644919    691437
         2    902600    745000   3015000    823500   1280300   1561422    781308   1805171
         3   1003800   1264800    935000   2898600   1174000   1127574   1423813    831906
         4    385400   1252900   1189000    840700   2637500    891781    788676    867236
         5    488300    378000    838200    923600    789200   1957138    662488    519655
         6    409900    384900    331900    527500    664100    485303   1080601    377932
         7    285200    370200    465800    248400    398800    396556    199821    373009
         8    250900    473500    629200    411600    335200    239355    228471    129976

Yield         129420    174257    190496    200422    244048    202023    175532    128966
Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    175407         0    373997     36711     71987     43969     42913     22354
         1   1816400    699409   3406277   1702177    349977    741949    469341   1928665
         2   4336039   3993034   1812968   6765070   2265686    298030   1122507    624249
         3   9534953   5393091   4259756   1160666   4433927    814814    332668    363277
         4   3322600   3935341   2131640   1785061    427037   2522195    477282     93348
         5    793994   1214471    379878   2034861    856222    119726   1198030    107671
         6    570894    761217    238555    425053    695181    174844    163659    504942
         7    448893    489369    271726    343530     81566    366383     68543     14111

Yield         262216    212175    142798    166497    111860     66754     48800     42978


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0     29998    139089     73033     33729     17092      4203    149281     64081
         1    228193   1404116    745171    447996    303862    715923     73944    353103
         2   2412420    238605   2315378   1423237    965691    331852   2680551    835876
         3    354236    514610    340767   2364339   1288477   1196326    729563    667385
         4    247363    106185    448018    427971   2047385   1684562   1101230    400691
         5     79939     65563     75211    226098    341189   1702049    734094    466388
         6     64975     12919     36260     23098    184261    209441    716766    397301
         7    244324     25651      8226     15151     15380    134245     57663    140307

Yield          42876     26274     42673     58748     66524     87801     76238     45858


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0     16209    712329    206337     61518    225416    530400     71200   1345599
         1    704898    841925   2236484   1649333    902715   5656600   8266600   1430547
         2   1776439   2291704   4062217   5331350   7453314   2008600  27174100  22998457
         3    314975   2106995   4735378   3028190   7843059   6175200   4658600  23217218
         4    659512    311619   2710272   1776246   3416704   6172900   6485800   6298881
         5    188720    456471    617775    881231   2120986   3131700   3303900   4084781
         6    236341    111755    475152    216862    765190   1762800   1494100   1642956
         7     92121    167409    181626    217277    183411    583100    686700    678452

Yield          53839     86488    208936    131870    264826    278270    418355    511217


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    222857   1450622    382597    652640   2255301   3962657    213742   1916220
         1  11017463   2059018  10534630   2775601   6846948   9366111  23263510   2842586
         2   3802547  19883018   2948174  11557197   5491776   7108722  13094317  30967900
         3  17687621   5831191  14716712   2670375  10384310   4805394   5447560  11254006
         4  19617466   9987126   2870184   9252388   3784331   5067481   3086404   2933589
         5   2658612   8850933   4284142   1998797   4157403   2396044   3245594   1868255
         6   1777763   1181962   4076633   2651424   1027488   1902532   1333956    842965
         7   1957223   1204202   1468059   2786052   4324835   2216395   2507460   1614911

Yield         469680    415598    388712    339407    331904    296472    373008    397446


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0   1712120   1497406   2496564   1336214   1776228   1203434   1136587    503207
         1  10851128  13795744   6390489  21087244   4583750   8753340   5218195   6267298
         2   3265522  11967706  15476697   8880105  21493094   4334644   5712233   9612881
         3  21097242   3706322   6682852  10163730   5363115  12479155   2727479   4501503
         4   6832239  13722623   2935808   3901859   4234433   2692668   7040544   2397811
         5   1380358   3854954   5717955   1793153   1239447   1454903   1245814   3847178
         6    613632    623133   2255171   2836605    881009    533446    736463    682989
         7    935063    839363    661469   1361316   1504566    931523    735255    627200

Yield         344385    383019    371268    401629    334173    256559    226649    271410


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0   1597095    382980    920195    824664    779751    842681    864414    194933
         1   4911208  17057263   2973969   3579884   6278336   5962092   6439838   4966000
         2   7619008   4720316  18520734   6141001   6497104  10263401   5655737  11230937
         3   6498613   5121411   3801288  16543725   6473215   5560056   6219636   5202421
         4   2373559   3272068   2547751   3195711  12795134   5543538   3809510   4906849
         5   1458602   1244627   1226450   1563614   1871268   7445687   2817502   2118510
         6   1402152    659072    508161    675502    610191    777196   3492510   1651561
         7    724280    877404    856892    639665    463099    525849    574739   2116468

Yield         238589    245999    243038    282482    302904    311490    268360    284787

Stock numbers

Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1  16002078  12322202  22649632  16625694  21408180  18802182  25019886  34860039
         2  14537492   9851883   7265672  14068857   9990755  10383761   7622100   9848599
         3   8444472   9286259   6128009   4464496   8921542   6172710   6257865   3899874
         4   8701425   5375188   5803537   3645312   2822799   5531450   3806011   3328208
         5   3852317   5530787   3366739   3421662   2306540   1760365   3407287   2072598
         6   1744961   2364781   3353348   1885869   2097817   1422383   1064565   1753262
         7   1099861   1073573   1435033   1881117   1158701   1327741    867750    575110
         8   3882062   3183241   2689714   2390320   2714396   2544706   2526961   1929427

TSB          2420408   2146596   1978718   1800916   1868355   2168820   1811746   1651038
SSB          2029408   1845490   1577893   1430315   1443072   1752405   1362496   1098331


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1  35935026  25685207  31124963  22873714  12498997  24778749   9674730  13848146
         2  14836760  15058608  11563993  15573246  12575592   7177082  14311444   5492480
         3   5047306   7782502   7079047   5788685   8284589   7069784   4497803   8231544
         4   2070064   2681571   3885159   3587463   3131668   4436984   4308989   2635683
         5   1817842   1142427   1327243   2048619   1984290   1745219   2684070   2484920
         6   1101661    980259    546164    649565   1091066   1052052   1035169   1475797
         7    931938    605472    482760    274908    348500    589307    634249    582803
         8   1418549   1337780    993363    775604    581045    516342    680221    761579

TSB          1932229   1675809   1457525   1536085   1053885   1408089   1055093    857345
SSB          1293855   1194032    963581   1100411    798437   1022497    837322    650499


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1  17607619  14684811  18690576  17662854  14919351  20429920  16616870   8483015
         2   8357926  12079444  10770867  13817435  12154443  10111091  14246295  11983423
         3   3478695   5621033   8411676   7749736   9201337   7922108   6636086   9494028
         4   4683671   2123793   3611817   5689435   4854084   5540807   4700711   4014845
         5   1456998   2607230   1283837   2354611   3372488   2779493   3071022   2634563
         6   1274250    743270   1408801    778270   1291042   1755487   1390061   1547422
         7    765295    654295    408946    846578    431156    680132    882409    706226
         8    717424    769051    784540    727270    873996    698037    702247    813728

TSB           954130    854470    910443    992886   1048326    867174    917994    641374
SSB           695844    617838    653390    729939    826550    615955    674867    508165


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1  13606576   7839692  13162029  10405943   9910913  20904542  11730776   7962719
         2   6186051   9754918   5582909   8507156   6418495   6296220  14190854   8280450
         3   7926293   4024010   6522974   3499722   4961606   4040996   4379909   9622631
         4   5592647   4507260   2437336   3593423   1762065   2866296   2606143   2917871
         5   2165681   2897212   2524610   1223264   1596078    953569   1746032   1661711
         6   1260553    980440   1462852   1114348    463734    773643    533447   1050007
         7    744468    574496    500234    655150    425631    227097    436156    322672
         8    735806    679467    645256    518194    450433    431312    374726    495149

TSB           678313    535837    601288    608392    471976    736329    567673    541196
SSB           517425    422574    443009    460273    345708    493183    410718    431691


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1  14105496  11521517  21102582  15151454  11471990   7038844  14444187  15590718
         2   5349201   9145222   7424303  13223058   9339144   6741427   4137683   9060761
         3   5559383   3713167   6263609   5030585   8682928   5853359   4444691   3020934
         4   6326792   3666464   2478495   4102108   3274067   5449038   3759883   3103436
         5   1899013   3988035   2358153   1558234   2526529   1992334   3441375   2600259
         6   1009317   1113349   2363802   1374718    887999   1385962   1173623   2281806
         7    647816    609311    679609   1366470    797076    496365    821575    785381
         8    511757    709761    821668    896538   1304959   1195054   1020499   1253571

TSB           693866    694724    796429    818729    789590    716604    697525    791480
SSB           527386    546761    569783    616019    631650    603763    551575    616362


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1  11359821  30370515  10589423   9802804  12266752   7486519  19517065  10564188
         2   9998969   7204996  20348708   7109976   6761656   8531642   5234916  13983873
         3   6524089   7049055   5084377  13053134   4805435   4560602   5843168   3659506
         4   2230581   4647008   4802672   3271677   8224541   3037121   2875836   3820019
         5   2194426   1568259   3015270   2861361   1939922   4678970   1753037   1719695
         6   1770285   1421360    925085   1572754   1464075    948091   2277268    906409
         7   1576032   1170244    839141    487211    811981    716470    468101   1176391
         8   1422832   2001287   1895725   1454332   1013927    898981    801796    664626

TSB           810693    953258    763139    727677    751466    631966    614237    613571
SSB           660544    685386    619269    610092    626818    530354    455397    477073
Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1  95135003  28166319 238680316  71925889  31574484  71544307  44834666 134025814
         2  75706152  43034336  12661866 124650622  30851612   9738876  19775041  12438566
         3  27814535  37163636  20695582   6943425  61582390  12981709   3911418   7492528
         4  13695731  13439707  17552873  11256805   3509393  26572424   5380332   1616794
         5   6392461   6752037   6482890   9688017   5785451   1636377  10940676   2254355
         6   4025990   3151503   3256969   3578124   4979170   2725880    713298   4536858
         7   2408956   2011154   1542641   1814788   1861932   2369319   1183206    307305

TSB          1831504   1345114   1739981   1996383   1424011   1055300    720141   1001137
SSB          1475296   1223114    935925   1664901   1293395    797091    547139    508050


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1  70009185 208212383  93918312  77286511  28253264  57495999  19111341  62323911
         2  42733844  22504824  86961340  45381491  40642490  14580560  29537308  10123445
         3   5709977  18841026  11101375  46818773  26197637  23873401   8595566  17592657
         4   3479825   2670028   9802279   6349629  27536033  15440772  14430583   5092009
         5    778140   1656467   1413445   5631955   3784544  16643737   9484531   8805423
         6   1082035    380597    889274    825388   3418696   2321209  10271673   5876609
         7   2119031    514370    206852    522450    508997   2109832   1433459   6384997

TSB           933863   1466427   1529997   1514789   1351951   1355669    981731   1061007
SSB           650484    691492   1130974   1201832   1219311   1131203    890562    823846


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1  70042861  73620165 109584397 110646248  66179112 259701421 184997758  63038393
         2  36906584  47974937  52527566  75946949  74576627  44277097 180914021 131953528
         3   6494479  26216611  35337315  36159887  50799718  48065612  28975110 116715485
         4  11400254   4558219  19056628  23550241  23833914  31643723  29709153  17674573
         5   3312833   8044096   3324265  12704219  15650294  14972957  19626959  18071577
         6   5779686   2351200   5878578   2223928   8474742   9853190   9324666  12004046
         7   3868860   4095525   1720588   3938290   1488886   5357682   6147119   5710723

TSB          1290573   1665985   2116230   2116823   2278508   2920461   3096874   2732251
SSB          1000203   1353956   1676452   1675458   2000495   1997646   2387124   2459300


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1 187511529  52670380 115584339  58617335  69578855 165333772 289991054  55979481
         2  45019743 132044421  36184469  73083843  36927391  42107180 103448602 183890741
         3  84253604  27967648  82195135  21937016  44739593  21131258  24464851  58947778
         4  69073771  48015338  16228670  47277959  13039020  24221743  11599808  13274775
         5  10493372  39247437  27697665   9200472  27603815   6942139  12978855   6173390
         6  10801004   6008351  22669339  15765736   5404570  14707102   3739298   6891310
         7   7178921   6195807   3494651  12938817   9237938   2880647   7893339   1989965

TSB          2721386   2313623   2324805   1990767   1630852   1784796   2484470   2117040
SSB          2087383   2078495   1938071   1764251   1395053   1257539   1564245   1869916


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1  85918382 119209687  81689174 200269432  59009827  65130606  76298843  70584336
         2  33778480  51431245  69021522  45977593 112701291  32205925  35300538  43035533
         3 101076933  19260880  27735015  36950584  24543675  58470612  17083063  19936404
         4  30777516  55070349   9901547  14008144  18721900  12312651  29449795   9364703
         5   6919143  16584686  27616870   4921606   6965040   9272399   6147563  15842940
         6   3234446   3800514   8334997  13665464   2454756   3459691   4689700   3337282
         7   3627732   1786943   1936479   4117227   6776369   1224109   1746906   2554268

TSB          1791367   1658349   1645899   1901121   1677803   1327641   1214626   1264829
SSB          1519135   1280938   1363430   1285765   1445610   1119411    971966   1032774


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1  67057566 250982960  87424310  66535990  85824176  59245970 108380664  93402948
         2  39341659  36919890 155115095  56096740  42970703  56243740  38357489  72069104
         3  23892713  21295382  22216084  95466577  34272779  26712919  33574676  23925095
         4  10741881  12393806  12349379  13471812  55874880  20447599  15202368  19935997
         5   4968972   5529032   7105216   7452955   7848605  32786547  11429127   8889049
         6   8416373   2573514   3187638   4300724   4368971   4647200  18326088   6699557
         7   1775847   4356444   1489754   1936174   2521276   2600106   2627181  10732156

TSB          1132360   1742831   1808923   1748722   1672703   1497228   1546468   1595937
SSB           915126    996201   1486140   1528286   1400862   1296919   1209953   1286248

Fishing mortality

Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0430    0.0420    0.0567    0.0401    0.0293    0.0283    0.0465    0.0519
         2    0.1369    0.1337    0.1804    0.1278    0.0932    0.0903    0.1480    0.1654
         3    0.1983    0.1935    0.2612    0.1850    0.1350    0.1307    0.2143    0.2395
         4    0.2193    0.2141    0.2890    0.2047    0.1493    0.1446    0.2371    0.2649
         5    0.2677    0.2613    0.3527    0.2498    0.1822    0.1765    0.2894    0.3233
         6    0.2677    0.2613    0.3527    0.2498    0.1822    0.1765    0.2894    0.3233
         7    0.2677    0.2613    0.3527    0.2498    0.1822    0.1765    0.2894    0.3233
         8    0.2677    0.2613    0.3527    0.2498    0.1822    0.1765    0.2894    0.3233

Avg. F 3-6     0.238     0.233     0.314     0.222     0.162     0.157     0.258     0.288


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0507    0.0684    0.0667    0.0613    0.0635    0.0487    0.0583    0.0824
         2    0.1615    0.2180    0.2123    0.1954    0.2024    0.1551    0.1855    0.1721
         3    0.2339    0.3156    0.3074    0.2829    0.2930    0.2246    0.2686    0.2773
         4    0.2587    0.3491    0.3401    0.3129    0.3242    0.2485    0.2972    0.3538
         5    0.3158    0.4261    0.4150    0.3819    0.3956    0.3032    0.3627    0.4554
         6    0.3158    0.4261    0.4150    0.3819    0.3956    0.3032    0.3627    0.4554
         7    0.3158    0.4261    0.4150    0.3819    0.3956    0.3032    0.3627    0.4554
         8    0.3158    0.4261    0.4150    0.3819    0.3956    0.3032    0.3627    0.4554

Avg. F 3-6     0.281     0.379     0.369     0.340     0.352     0.270     0.323     0.385


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0916    0.0828    0.0658    0.0774    0.0849    0.0923    0.0923    0.1042
         2    0.1912    0.1728    0.1374    0.1617    0.1774    0.1927    0.1927    0.2177
         3    0.3082    0.2786    0.2214    0.2605    0.2858    0.3105    0.3106    0.3509
         4    0.3932    0.3554    0.2825    0.3324    0.3647    0.3962    0.3963    0.4477
         5    0.5061    0.4574    0.3635    0.4278    0.4694    0.5099    0.5101    0.5761
         6    0.5061    0.4574    0.3635    0.4278    0.4694    0.5099    0.5101    0.5761
         7    0.5061    0.4574    0.3635    0.4278    0.4694    0.5099    0.5101    0.5761
         8    0.5061    0.4574    0.3635    0.4278    0.4694    0.5099    0.5101    0.5761

Avg. F 3-6     0.428     0.387     0.308     0.362     0.397     0.432     0.432     0.488


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.1154    0.0941    0.1122    0.1405    0.0958    0.0740    0.0622    0.0526
         2    0.2411    0.1967    0.2343    0.2934    0.2001    0.1547    0.1299    0.1082
         3    0.3885    0.3169    0.3777    0.4729    0.3224    0.2492    0.2094    0.1607
         4    0.4957    0.4044    0.4819    0.6033    0.4114    0.3180    0.2671    0.2185
         5    0.6380    0.5204    0.6202    0.7765    0.5294    0.4093    0.3438    0.3117
         6    0.6380    0.5204    0.6202    0.7765    0.5294    0.4093    0.3438    0.3117
         7    0.6380    0.5204    0.6202    0.7765    0.5294    0.4093    0.3438    0.3117
         8    0.6380    0.5204    0.6202    0.7765    0.5294    0.4093    0.3438    0.3117

Avg. F 3-6     0.540     0.441     0.525     0.657     0.448     0.346     0.291     0.251


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0548    0.0527    0.0572    0.0592    0.0618    0.0523    0.0382    0.0350
         2    0.1127    0.1085    0.1176    0.1218    0.1272    0.1076    0.0786    0.0719
         3    0.1675    0.1612    0.1747    0.1809    0.1889    0.1600    0.1169    0.1069
         4    0.2276    0.2190    0.2375    0.2459    0.2568    0.2174    0.1588    0.1453
         5    0.3248    0.3125    0.3389    0.3509    0.3664    0.3102    0.2267    0.2073
         6    0.3248    0.3125    0.3389    0.3509    0.3664    0.3102    0.2267    0.2073
         7    0.3248    0.3125    0.3389    0.3509    0.3664    0.3102    0.2267    0.2073
         8    0.3248    0.3125    0.3389    0.3509    0.3664    0.3102    0.2267    0.2073

Avg. F 3-6     0.261     0.251     0.272     0.282     0.295     0.249     0.182     0.167


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0425    0.0620    0.0816    0.0869    0.0975    0.0962    0.0874    0.0664
         2    0.0874    0.1276    0.1678    0.1788    0.2005    0.1978    0.1798    0.1365
         3    0.1299    0.1896    0.2494    0.2656    0.2979    0.2939    0.2672    0.2028
         4    0.1766    0.2577    0.3389    0.3611    0.4049    0.3995    0.3631    0.2757
         5    0.2519    0.3678    0.4837    0.5152    0.5777    0.5700    0.5182    0.3934
         6    0.2519    0.3678    0.4837    0.5152    0.5777    0.5700    0.5182    0.3934
         7    0.2519    0.3678    0.4837    0.5152    0.5777    0.5700    0.5182    0.3934
         8    0.2519    0.3678    0.4837    0.5152    0.5777    0.5700    0.5182    0.3934

Avg. F 3-6     0.203     0.296     0.389     0.414     0.465     0.458     0.417     0.316
Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0381    0.0378    0.0263    0.0302    0.0184    0.0175    0.0193    0.0140
         2    0.1679    0.1666    0.1161    0.1330    0.0811    0.0769    0.0851    0.0615
         3    0.2490    0.2470    0.1721    0.1972    0.1203    0.1141    0.1262    0.0912
         4    0.2546    0.2526    0.1760    0.2016    0.1230    0.1166    0.1291    0.0932
         5    0.2546    0.2526    0.1760    0.2016    0.1230    0.1166    0.1291    0.0932
         6    0.2546    0.2526    0.1760    0.2016    0.1230    0.1166    0.1291    0.0932
         7    0.2546    0.2526    0.1760    0.2016    0.1230    0.1166    0.1291    0.0932

Avg. F 3-5     0.253     0.251     0.175     0.200     0.122     0.116     0.128     0.093


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0116    0.0069    0.0055    0.0073    0.0104    0.0099    0.0096    0.0090
         2    0.0513    0.0303    0.0243    0.0323    0.0457    0.0435    0.0425    0.0399
         3    0.0760    0.0449    0.0361    0.0479    0.0678    0.0645    0.0630    0.0591
         4    0.0778    0.0459    0.0369    0.0490    0.0693    0.0659    0.0644    0.0604
         5    0.0778    0.0459    0.0369    0.0490    0.0693    0.0659    0.0644    0.0604
         6    0.0778    0.0459    0.0369    0.0490    0.0693    0.0659    0.0644    0.0604
         7    0.0778    0.0459    0.0369    0.0490    0.0693    0.0659    0.0644    0.0604

Avg. F 3-5     0.077     0.046     0.037     0.049     0.069     0.065     0.064     0.060


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0078    0.0080    0.0211    0.0145    0.0239    0.0278    0.0330    0.0383
         2    0.0342    0.0353    0.0932    0.0640    0.1055    0.1227    0.1454    0.1687
         3    0.0507    0.0523    0.1381    0.0949    0.1564    0.1819    0.2156    0.2501
         4    0.0518    0.0534    0.1412    0.0970    0.1600    0.1860    0.2204    0.2557
         5    0.0518    0.0534    0.1412    0.0970    0.1600    0.1860    0.2204    0.2557
         6    0.0518    0.0534    0.1412    0.0970    0.1600    0.1860    0.2204    0.2557
         7    0.0518    0.0534    0.1412    0.0970    0.1600    0.1860    0.2204    0.2557

Avg. F 3-5     0.051     0.053     0.140     0.096     0.159     0.185     0.219     0.254


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0432    0.0385    0.0829    0.0710    0.0976    0.1026    0.1110    0.1060
         2    0.1904    0.1698    0.1841    0.1577    0.2168    0.2281    0.2467    0.2354
         3    0.2823    0.2517    0.2350    0.2013    0.2768    0.2911    0.3149    0.3005
         4    0.2886    0.2574    0.2547    0.2182    0.2999    0.3155    0.3412    0.3257
         5    0.2886    0.2574    0.2547    0.2182    0.2999    0.3155    0.3412    0.3257
         6    0.2886    0.2574    0.2547    0.2182    0.2999    0.3155    0.3412    0.3257
         7    0.2886    0.2574    0.2547    0.2182    0.2999    0.3155    0.3412    0.3257

Avg. F 3-5     0.287     0.255     0.248     0.213     0.292     0.307     0.332     0.317


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0839    0.1068    0.1095    0.1099    0.1018    0.0978    0.0860    0.0972
         2    0.1864    0.2374    0.2432    0.2443    0.2263    0.2173    0.1911    0.2159
         3    0.2379    0.3030    0.3105    0.3119    0.2888    0.2774    0.2439    0.2756
         4    0.2579    0.3284    0.3365    0.3379    0.3130    0.3006    0.2643    0.2987
         5    0.2579    0.3284    0.3365    0.3379    0.3130    0.3006    0.2643    0.2987
         6    0.2579    0.3284    0.3365    0.3379    0.3130    0.3006    0.2643    0.2987
         7    0.2579    0.3284    0.3365    0.3379    0.3130    0.3006    0.2643    0.2987

Avg. F 3-5     0.251     0.320     0.328     0.329     0.305     0.293     0.258     0.291


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.1060    0.0813    0.0674    0.0826    0.0806    0.0986    0.0876    0.0788
         2    0.2356    0.1806    0.1498    0.1835    0.1790    0.2191    0.1946    0.1751
         3    0.3007    0.2305    0.1913    0.2342    0.2285    0.2797    0.2483    0.2236
         4    0.3259    0.2498    0.2073    0.2538    0.2476    0.3031    0.2691    0.2423
         5    0.3259    0.2498    0.2073    0.2538    0.2476    0.3031    0.2691    0.2423
         6    0.3259    0.2498    0.2073    0.2538    0.2476    0.3031    0.2691    0.2423
         7    0.3259    0.2498    0.2073    0.2538    0.2476    0.3031    0.2691    0.2423

Avg. F 3-5     0.318     0.243     0.202     0.247     0.241     0.295     0.262     0.236

Predation mortality

Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.4122    0.3444    0.3366    0.4766    0.6763    0.7616    0.6552    0.6652
         1    0.3421    0.3863    0.3195    0.3692    0.5943    0.7746    0.7859    0.7023
         2    0.2113    0.2411    0.2066    0.2277    0.2883    0.3161    0.4221    0.4031
         3    0.1535    0.1765    0.1582    0.1734    0.2431    0.2528    0.3171    0.2939
         4    0.1338    0.1537    0.1393    0.1530    0.2229    0.2399    0.2707    0.2398
         5    0.1203    0.1391    0.1268    0.1394    0.2012    0.2265    0.2751    0.2086
         6    0.1180    0.1382    0.1254    0.1373    0.1752    0.2177    0.2264    0.2086
         7    0.1036    0.1235    0.1132    0.1220    0.1598    0.1830    0.2019    0.1760
