Species.n Year Quarter Age N west consum size
1 1974 1 1 519086 0.003646 0.004 50
1 1974 1 2 1.59458e+06 0.021192 0.032 119
1 1974 1 3 531876 0.055496 0.071 168
1 1974 1 4 584192 0.12441 0.131 220
1 1974 1 5 320154 0.225408 0.208 269
1 1974 1 6 275834 0.370895 0.246 317
1 1974 1 7 102986 0.587078 0.349 369
1 1974 1 8 126078 0.953028 0.498 431
1 1974 1 9 36257 1.79205 0.798 530
1 1974 1 10 9686 3.03775 1.181 629
1 1974 1 11 2973 5.32349 1.76 749
1 1974 2 1 153681 0.003646 0.004 50
1 1974 2 2 882589 0.023486 0.03 124
1 1974 2 3 656538 0.056288 0.061 169
1 1974 2 4 553705 0.120703 0.109 218
1 1974 2 5 287520 0.226669 0.179 270
1 1974 2 6 298474 0.372663 0.179 317
1 1974 2 7 110926 0.58622 0.254 369
1 1974 2 8 130208 0.954447 0.362 431
1 1974 2 9 37819 1.78924 0.581 530
1 1974 2 10 9809 3.03555 0.859 629
1 1974 2 11 2954 5.32287 1.28 749
1 1974 3 0 -1 -1 0 -1
1 1974 3 1 3.64562e+06 0.003646 0.004 50
1 1974 3 2 403037 0.024494 0.034 126
1 1974 3 3 503158 0.057601 0.067 170
1 1974 3 4 597747 0.12021 0.118 217
1 1974 3 5 260632 0.226275 0.192 269
1 1974 3 6 294808 0.375897 0.339 318
1 1974 3 7 124264 0.586562 0.476 369
1 1974 3 8 143766 0.952993 0.678 431
1 1974 3 9 42442 1.79066 1.088 530
1 1974 3 10 10986 3.03443 1.61 629
1 1974 3 11 3279 5.32358 2.4 749
1 1974 4 0 -1 -1 0 -1
1 1974 4 1 1.73917e+06 0.003646 0.004 50
1 1974 4 2 1.08682e+06 0.01679 0.025 110
1 1974 4 3 303336 0.058331 0.068 171
1 1974 4 4 532989 0.12317 0.12 219
1 1974 4 5 263745 0.225685 0.192 269
1 1974 4 6 281092 0.37664 0.361 318
1 1974 4 7 130432 0.587708 0.507 369
1 1974 4 8 161233 0.953421 0.724 431
1 1974 4 9 48237 1.79359 1.161 530
1 1974 4 10 12721 3.034 1.717 629
1 1974 4 11 3779 5.32451 2.56 749
1 1975 1 1 434746 0.003646 0.004 50
1 1975 1 2 1.32038e+06 0.021121 0.032 119
1 1975 1 3 404188 0.055141 0.071 168
1 1975 1 4 408789 0.124822 0.131 220
1 1975 1 5 249804 0.226336 0.208 269
1 1975 1 6 269171 0.375711 0.248 318
1 1975 1 7 124567 0.588322 0.349 369
1 1975 1 8 166566 0.957227 0.498 431
1 1975 1 9 50660 1.7936 0.798 530
1 1975 1 10 13415 3.03331 1.181 629
1 1975 1 11 3934 5.32048 1.76 749
1 1975 2 1 128369 0.003646 0.004 50
1 1975 2 2 733079 0.023457 0.03 124
1 1975 2 3 530160 0.056163 0.061 169
1 1975 2 4 406896 0.119894 0.108 217
1 1975 2 5 210758 0.227167 0.179 270
1 1975 2 6 253843 0.376495 0.181 318
1 1975 2 7 117899 0.588243 0.254 369
1 1975 2 8 163946 0.96229 0.364 432
1 1975 2 9 52104 1.79249 0.581 530
1 1975 2 10 13677 3.03274 0.859 629
1 1975 2 11 3952 5.3126 1.276 748
1 1975 3 0 -1 -1 0 -1
1 1975 3 1 5.21219e+06 0.003646 0.004 50
1 1975 3 2 336956 0.024391 0.034 126
1 1975 3 3 412031 0.057548 0.067 170
1 1975 3 4 465556 0.119524 0.118 217
1 1975 3 5 190412 0.226262 0.192 269
1 1975 3 6 231377 0.378429 0.341 319
1 1975 3 7 115658 0.588516 0.476 369
1 1975 3 8 166426 0.966515 0.686 433
1 1975 3 9 57115 1.7954 1.088 530
1 1975 3 10 15243 3.03348 1.61 629
1 1975 3 11 4404 5.30821 2.393 748
1 1975 4 0 -1 -1 0 -1
1 1975 4 1 2.48952e+06 0.003646 0.004 50
1 1975 4 2 1.45727e+06 0.016179 0.024 109
1 1975 4 3 251889 0.0582 0.068 171
1 1975 4 4 426076 0.12279 0.12 219
1 1975 4 5 199912 0.225418 0.192 269
1 1975 4 6 213226 0.377795 0.364 319
1 1975 4 7 110301 0.589217 0.507 369
1 1975 4 8 168769 0.97035 0.731 433
1 1975 4 9 62723 1.80122 1.166 531
1 1975 4 10 17468 3.03501 1.717 629
1 1975 4 11 5086 5.30653 2.552 748
1 1976 1 1 620318 0.003646 0.004 50
1 1976 1 2 1.85205e+06 0.021009 0.032 119
1 1976 1 3 482837 0.054345 0.07 167
1 1976 1 4 342163 0.123688 0.131 220
1 1976 1 5 195302 0.226107 0.208 269
1 1976 1 6 204304 0.375651 0.248 318
1 1976 1 7 98763 0.589286 0.349 369
1 1976 1 8 157674 0.974089 0.505 434
1 1976 1 9 62377 1.80631 0.802 531
1 1976 1 10 18151 3.03659 1.181 629
1 1976 1 11 5303 5.30256 1.755 748
1 1976 2 1 182391 0.003646 0.004 50
1 1976 2 2 1.03275e+06 0.02341 0.03 124
1 1976 2 3 711633 0.055933 0.061 169
1 1976 2 4 426566 0.116664 0.106 215
1 1976 2 5 169850 0.226768 0.179 270
1 1976 2 6 195290 0.375925 0.181 318
1 1976 2 7 90286 0.588597 0.254 369
1 1976 2 8 141458 0.976337 0.368 434
1 1976 2 9 58767 1.81035 0.586 532
1 1976 2 10 17843 3.03917 0.862 630
1 1976 2 11 5247 5.2971 1.276 748
1 1976 3 0 -1 -1 0 -1
