par parNo species year quarter area age predator prey fleet idx1 idx2 idx3 used
log_rec 1 2 1974 -1 -1 0 -1 -1 -1 2 1974 -1 used
log_rec 2 2 1975 -1 -1 0 -1 -1 -1 2 1975 -1 used
log_rec 3 2 1976 -1 -1 0 -1 -1 -1 2 1976 -1 used
log_rec 4 2 1977 -1 -1 0 -1 -1 -1 2 1977 -1 used
log_rec 5 2 1978 -1 -1 0 -1 -1 -1 2 1978 -1 used
log_rec 6 2 1979 -1 -1 0 -1 -1 -1 2 1979 -1 used
log_rec 7 2 1980 -1 -1 0 -1 -1 -1 2 1980 -1 used
log_rec 8 2 1981 -1 -1 0 -1 -1 -1 2 1981 -1 used
log_rec 9 2 1982 -1 -1 0 -1 -1 -1 2 1982 -1 used
log_rec 10 2 1983 -1 -1 0 -1 -1 -1 2 1983 -1 used
log_rec 11 2 1984 -1 -1 0 -1 -1 -1 2 1984 -1 used
log_rec 12 2 1985 -1 -1 0 -1 -1 -1 2 1985 -1 used
log_rec 13 2 1986 -1 -1 0 -1 -1 -1 2 1986 -1 used
log_rec 14 2 1987 -1 -1 0 -1 -1 -1 2 1987 -1 used
log_rec 15 2 1988 -1 -1 0 -1 -1 -1 2 1988 -1 used
log_rec 16 2 1989 -1 -1 0 -1 -1 -1 2 1989 -1 used
log_rec 17 2 1990 -1 -1 0 -1 -1 -1 2 1990 -1 used
log_rec 18 2 1991 -1 -1 0 -1 -1 -1 2 1991 -1 used
log_rec 19 2 1992 -1 -1 0 -1 -1 -1 2 1992 -1 used
log_rec 20 2 1993 -1 -1 0 -1 -1 -1 2 1993 -1 used
log_rec 21 2 1994 -1 -1 0 -1 -1 -1 2 1994 -1 used
log_rec 22 2 1995 -1 -1 0 -1 -1 -1 2 1995 -1 used
log_rec 23 2 1996 -1 -1 0 -1 -1 -1 2 1996 -1 used
log_rec 24 2 1997 -1 -1 0 -1 -1 -1 2 1997 -1 used
log_rec 25 2 1998 -1 -1 0 -1 -1 -1 2 1998 -1 used
log_rec 26 2 1999 -1 -1 0 -1 -1 -1 2 1999 -1 used
log_rec 27 2 2000 -1 -1 0 -1 -1 -1 2 2000 -1 used
log_rec 28 2 2001 -1 -1 0 -1 -1 -1 2 2001 -1 used
log_rec 29 2 2002 -1 -1 0 -1 -1 -1 2 2002 -1 used
log_rec 30 2 2003 -1 -1 0 -1 -1 -1 2 2003 -1 used
log_rec 31 2 2004 -1 -1 0 -1 -1 -1 2 2004 -1 used
log_rec 32 2 2005 -1 -1 0 -1 -1 -1 2 2005 -1 used
log_rec 33 2 2006 -1 -1 0 -1 -1 -1 2 2006 -1 used
log_rec 34 2 2007 -1 -1 0 -1 -1 -1 2 2007 -1 used
log_rec 35 2 2008 -1 -1 0 -1 -1 -1 2 2008 -1 used
log_rec 36 2 2009 -1 -1 0 -1 -1 -1 2 2009 -1 used
log_rec 37 2 2010 -1 -1 0 -1 -1 -1 2 2010 -1 used
log_rec 38 2 2011 -1 -1 0 -1 -1 -1 2 2011 -1 used
log_rec 39 2 2012 -1 -1 0 -1 -1 -1 2 2012 -1 used
log_rec 40 2 2013 -1 -1 0 -1 -1 -1 2 2013 -1 used
log_rec 41 2 2014 -1 -1 0 -1 -1 -1 2 2014 -1 used
